brand_model,year,price,transmission,mileage,fuelType,tax,milesPerGallon,engineSize
Ford_Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5
Ford_C-MAX,2015,8698,Manual,31743,Petrol,30,55.4,1.0
Ford_Kuga,2019,19495,Manual,13673,Diesel,145,47.9,2.0
Ford_Fiesta,2018,9995,Manual,25776,Petrol,145,65.7,1.0
Ford_Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5
Ford_Kuga,2017,13998,Manual,24504,Diesel,150,64.2,1.5
Ford_Fiesta,2017,11998,Manual,6568,Petrol,145,62.8,1.0
Ford_Tourneo Connect,2016,8998,Manual,42960,Diesel,30,61.4,1.5
Ford_Kuga,2018,16698,Manual,5117,Diesel,145,54.3,1.5
Ford_EcoSport,2016,8998,Manual,31736,Petrol,125,53.3,1.0
Ford_Fiesta,2015,7998,Manual,19212,Petrol,0,65.7,1.0
Ford_Fiesta,2018,12495,Manual,12426,Petrol,145,65.7,1.0
Ford_Ka+,2017,7995,Manual,12872,Petrol,145,57.7,1.2
Ford_Puma,2020,21995,Manual,4111,Petrol,145,50.4,1.0
Ford_Kuga,2018,16995,Manual,34690,Diesel,145,60.1,2.0
Ford_Fiesta,2018,11995,Manual,32168,Petrol,145,65.7,1.0
Ford_Kuga,2019,19995,Manual,11312,Diesel,145,47.9,2.0
Ford_Fiesta,2017,8995,Manual,31559,Petrol,145,65.7,1.0
Ford_Ka+,2017,8295,Manual,23000,Petrol,145,57.7,1.2
Ford_EcoSport,2018,14698,Manual,6442,Petrol,145,54.3,1.0
Ford_Fiesta,2016,10498,Semi-Auto,29590,Petrol,0,57.7,1.0
Ford_Focus,2018,14495,Manual,17030,Petrol,145,57.7,1.0
Ford_Focus,2016,8995,Manual,22493,Petrol,20,60.1,1.0
Ford_Focus,2016,15995,Manual,29600,Diesel,20,67.3,2.0
Ford_C-MAX,2016,10995,Semi-Auto,26500,Diesel,125,58.9,2.0
Ford_Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2.0
Ford_C-MAX,2013,8295,Manual,34783,Diesel,30,61.4,1.6
Ford_Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6
Ford_Kuga,2019,19995,Manual,16000,Diesel,150,47.9,2.0
Ford_Mondeo,2015,9995,Manual,30753,Diesel,0,78.5,1.5
Ford_Grand C-MAX,2018,13495,Manual,1030,Petrol,145,47.9,1.0
Ford_C-MAX,2017,12995,Manual,7817,Petrol,145,55.4,1.0
Ford_Focus,2018,12995,Manual,9781,Petrol,145,60.1,1.0
